Category,Edge Case,Our Response,Example Business,Example ABN,Example Detail
ABN/Business Identity,Sole trader registered under personal name (no business name),"Two paths depending on ABR result: (1) If ABR result has a registered trading name (e.g. ""Ferguson Fencing""), _has_registered_trading_name is true — goes straight to enrichment using the trading name for Brave/Google and legal name (FERGUSON, MARTIN) for licence search. (2) If no trading name registered, _is_sole_trader_personal_name() detects SURNAME,FIRSTNAME format or Individual entity type. Shows card with ABN/location, asks ""What name does your business trade under?"" User provides their trading name, which becomes display_name for Brave/Google searches; legal name stays as licence search term. In both paths, all enrichment results (Google Places, Brave web, licence) feed into a DATA CONFIDENCE assessment. When results are sparse or clearly wrong (e.g. politician Wikipedia results for ""Martin Ferguson""), AI sees low confidence signal and simply asks what services they offer instead of making assumptions from unreliable web data.","Tony Broughton (Handyman, Yanchep WA); Aaron Davy (Electrician, Kaleen ACT); Martin Ferguson (Fencer, VIC — personal name returns politician web results, AI correctly ignores them)",96518511043; 25829468115; 99798445258,"959 sole traders in contacts CSV. Code: _is_sole_trader_personal_name() checks _has_registered_trading_name flag, entity type, and SURNAME regex. Data confidence in service discovery prompt: no licence + no Google + no category = LOW CONFIDENCE warning tells AI to ignore web results and just ask."
ABN/Business Identity,"Pty Ltd where registered name differs from trading name (e.g. ""J & K Holdings Pty Ltd"" trades as ""Pete's Plumbing"")","ABR enrichment fetches both trading name and entity name. Card shows trading name as label, legal name as subtitle when different. Licence searched under legal name; suffix stripped by match_licence().","JAMGAV Pty Ltd T/A GERRY LOUIS ELECTRICAL; Accede Holdings Pty Ltd; R&T Building Co Pty Ltd T/A Mon Reve Maison",63266180521; 49626759895,"19 Holdings/Investment Pty Ltds and 6 explicit T/A structures in contacts. If licence not found under company name, asks for personal name (_needs_licence_holder_name)."
ABN/Business Identity,"Trust structure (e.g. ""Smith Family Trust"") / Partnership","If licence search under trust/company name returns 0 results, detects trust/holdings keywords via _ENTITY_PATTERNS regex and asks ""What name is the licence under?"" User provides personal name for fresh licence search.","FLASH CONCRETING DISCRETIONARY TRUST (Concreter, Mackay QLD); L.D. Electrical Contractor Pty Ltd ATF Le Family Trust (Electrician, Noble Park VIC)",50972689144; 62814739408,"73 trusts and 5 partnerships in contacts. Gap: partnerships not in _ENTITY_PATTERNS regex — if legal name is ""SMITH AND JONES"" the fallback prompt won't fire."
ABN/Business Identity,Cancelled or inactive ABN,"Two-layer filtering: (1) enrichment fetches real ABN status, inactive results filtered before card display. (2) At confirmation, status re-checked — if cancelled, blocks with ""You'll need an active ABN to join Service Seeking.""",Any inactive ABN (filtered out so not visible),,Code: graph.py line 202 pre-filter + line 2406 confirmation guard. Name search assumes Active (no per-entry status); enrichment pass fetches real status.
ABN/Business Identity,"Very common/ambiguous business name returning multiple ABR matches","Show up to 8 cards with business name, postcode, entity type. Near-duplicate detection adds ""Company"" or ""Sole Trader"" labels when same name exists as both. 5+ results prompts ""try adding your postcode"". Postcode in input auto-filters results.","Jim's Antennas (257 Jim's franchise matches); ABC Electric Services vs ABC Electric Pty Ltd; A1 Builders Pty Ltd",37137808989; 35762158272,"Cap of 8 results shown (overflow discarded). User must know ABN or postcode if their business is beyond position 8."
ABN/Business Identity,"User gives minimal input (just a first name, or just a suburb)","Min 2-char guard. Single first name like ""John"" returns ABR results (likely noise) — shown as cards, user can reject and retry. Suburb names return 0 results with ""try a different name or enter your ABN"" prompt. LLM interprets unrelated input as question intent and guides user back.",N/A — handled by conversation flow,,Code: graph.py line 159 length guard. LLM intent classifier handles ambiguous input gracefully.
ABN/Business Identity,Business is not a trade or professional service (e.g. auction house; restaurant; retail shop; real estate agency),"LLM classifier (Haiku) reads Google Places data (name, type, reviews) + website text and determines if the business belongs on Service Seeking. Returns is_trade=false for non-trade businesses. Replaces brittle keyword blocklist (_NON_TRADE_TYPES). If blocked, user sees a clear message and can try a different business.","Smith Broughton Industrial Auctioneers (auction house, Midland WA — Google type ""service"" would have passed old keyword gate); any restaurant or retail shop",,"classify_business_from_web() in graph.py. Single Haiku call after _confirm_business. Handles cases old keyword gate missed: auction houses typed as ""service"", equipment dealers, recruitment agencies. Defaults to is_trade=true if no web data (safe pass-through for ghost businesses)."
Licence,NSW licensed trade (direct register lookup),"NSW Fair Trading API (OAuth2). Browse by legal name, match_licence() scores on name overlap + trade relevance. Extracts licence classes, contact name from associatedParties.","Rainman Plumbing Pty Ltd (Plumber, Sydney NSW); Greater Sydney Electrical (Electrician, Parramatta NSW)",62931627641; 66536853293,Direct API integration. Apostrophe retry if 0 results. Suffix stripping for Pty Ltd matching.
Licence,QLD licensed trade (direct register lookup),"QBCC CSV lookup by ABN + legal name. Same match_licence() scoring as NSW.","FLASH CONCRETING DISCRETIONARY TRUST (Concreter, Mackay QLD); Concreting Qld Trading Trust",50972689144; 77416096279,CSV-based lookup avoids API dependency.
Licence,"Trade in VIC, SA, WA, TAS, NT, ACT (web search fallback for licence)","_STATE_LICENCE_CONFIG defines regex patterns per state/trade. Brave + website text scanned for licence numbers. Falls back to self-report if no match found.","PRO TILING TECH PTY LTD (Tiler, Craigieburn VIC); Aaron Mcgrath (Carpenter, Endeavour Hills VIC)",50633894747; 69787517138,"WA DMIRS old portal dead — all non-NSW/QLD states use web extraction + self-report. Config keyed by state → trade."
